startname,endname,length,line
大钟寺,西直门,2839,13号线
知春路,大钟寺,1206,13号线
五道口,知春路,1829,13号线
上地,五道口,4866,13号线
清河站,上地,1018,13号线
西二旗,清河站,1545,13号线
龙泽,西二旗,3623,13号线
回龙观,龙泽,1423,13号线
霍营,回龙观,2110,13号线
立水桥,霍营,4786,13号线
北苑,立水桥,2272,13号线
望京西,北苑,6720,13号线
芍药居,望京西,2152,13号线
光熙门,芍药居,1110,13号线
柳芳,光熙门,1135,13号线
东直门,柳芳,1769,13号线
西直门,大钟寺,2839,13号线
大钟寺,知春路,1206,13号线
知春路,五道口,1829,13号线
五道口,上地,4866,13号线
上地,清河站,1018,13号线
清河站,西二旗,1545,13号线
西二旗,龙泽,3623,13号线
龙泽,回龙观,1423,13号线
回龙观,霍营,2110,13号线
霍营,立水桥,4786,13号线
立水桥,北苑,2272,13号线
北苑,望京西,6720,13号线
望京西,芍药居,2152,13号线
芍药居,光熙门,1110,13号线
光熙门,柳芳,1135,13号线
柳芳,东直门,1769,13号线
