startname,endname,length,line
张郭庄,园博园,1345,14号线
园博园,张郭庄,1345,14号线
园博园,大瓦窑,4073,14号线
大瓦窑,园博园,4073,14号线
大瓦窑,郭庄子,1236,14号线
郭庄子,大瓦窑,1236,14号线
郭庄子,大井,2044,14号线
大井,郭庄子,2044,14号线
大井,七里庄,1579,14号线
七里庄,大井,1579,14号线
七里庄,西局,845,14号线
西局,七里庄,845,14号线
西局,东管头,1500,14号线
东管头,西局,1500,14号线
东管头,丽泽商务区,859,14号线
丽泽商务区,东管头,859,14号线
丽泽商务区,菜户营,953,14号线
菜户营,丽泽商务区,953,14号线
菜户营,西铁营,1400,14号线
西铁营,菜户营,1400,14号线
西铁营,景风门,882,14号线
景风门,西铁营,882,14号线
景风门,北京南站,1200,14号线
北京南站,陶然桥,887,14号线
北京南站,景风门,1200,14号线
陶然桥,北京南站,887,14号线
陶然桥,永定门外,1063,14号线
永定门外,陶然桥,1063,14号线
永定门外,景泰,1119,14号线
景泰,永定门外,1119,14号线
景泰,蒲黄榆,1025,14号线
蒲黄榆,景泰,1025,14号线
蒲黄榆,方庄,1486,14号线
方庄,蒲黄榆,1486,14号线
方庄,十里河,1618,14号线
十里河,方庄,1618,14号线
十里河,北工大西门,2400,14号线
北工大西门,十里河,2400,14号线
北工大西门,平乐园,1128,14号线
平乐园,北工大西门,1128,14号线
平乐园,九龙山,897,14号线
九龙山,平乐园,897,14号线
九龙山,大望路,1780,14号线
大望路,九龙山,1780,14号线
大望路,金台路,1600,14号线
金台路,大望路,1600,14号线
金台路,朝阳公园,1085,14号线
朝阳公园,金台路,1085,14号线
朝阳公园,枣营,1221,14号线
枣营,朝阳公园,1221,14号线
枣营,东风北桥,2173,14号线
东风北桥,枣营,2173,14号线
东风北桥,将台,1600,14号线
将台,东风北桥,1600,14号线
将台,高家园,1171,14号线
高家园,将台,1171,14号线
高家园,望京南,676,14号线
望京南,高家园,676,14号线
望京南,阜通,1168,14号线
阜通,望京南,1168,14号线
阜通,望京,903,14号线
望京,阜通,903,14号线
望京,东湖渠,1283,14号线
东湖渠,望京,1283,14号线
东湖渠,来广营,1100,14号线
来广营,东湖渠,1100,14号线
来广营,善各庄,1364,14号线
善各庄,来广营,1364,14号线
