startname,endname,length,line
金安桥,苹果园,1438,6号线
苹果园,杨庄,839,6号线
杨庄,西黄村,1792,6号线
西黄村,廖公庄,1794,6号线
廖公庄,田村,2276,6号线
田村,海淀五路居,2140,6号线
海淀五路居,慈寿寺,1509,6号线
慈寿寺,花园桥,1431,6号线
花园桥,白石桥南,1167,6号线
白石桥南,二里沟,777,6号线
二里沟,车公庄西,888,6号线
车公庄西,车公庄,887,6号线
车公庄,平安里,1444,6号线
平安里,北海北,1322,6号线
北海北,南锣鼓巷,1349,6号线
南锣鼓巷,东四,1937,6号线
东四,朝阳门,1400,6号线
朝阳门,东大桥,1669,6号线
东大桥,呼家楼,846,6号线
呼家楼,金台路,1450,6号线
金台路,十里堡,2037,6号线
十里堡,青年路,1283,6号线
青年路,褡裢坡,3999,6号线
褡裢坡,黄渠,1239,6号线
黄渠,常营,1854,6号线
常营,草房,1407,6号线
草房,物资学院路,2115,6号线
物资学院路,通州北关,2557,6号线
通州北关,北运河西,3011,6号线
北运河西,北运河东,1600,6号线
北运河东,郝家府,929,6号线
郝家府,东夏园,1347,6号线
东夏园,潞城,1194,6号线
苹果园,金安桥,1438,6号线
杨庄,苹果园,839,6号线
西黄村,杨庄,1792,6号线
廖公庄,西黄村,1794,6号线
田村,廖公庄,2276,6号线
海淀五路居,田村,2140,6号线
慈寿寺,海淀五路居,1509,6号线
花园桥,慈寿寺,1431,6号线
白石桥南,花园桥,1167,6号线
二里沟,白石桥南,777,6号线
车公庄西,二里沟,888,6号线
车公庄,车公庄西,887,6号线
平安里,车公庄,1444,6号线
北海北,平安里,1322,6号线
南锣鼓巷,北海北,1349,6号线
东四,南锣鼓巷,1937,6号线
朝阳门,东四,1400,6号线
东大桥,朝阳门,1669,6号线
呼家楼,东大桥,846,6号线
金台路,呼家楼,1450,6号线
十里堡,金台路,2037,6号线
青年路,十里堡,1283,6号线
褡裢坡,青年路,3999,6号线
黄渠,褡裢坡,1239,6号线
常营,黄渠,1854,6号线
草房,常营,1407,6号线
物资学院路,草房,2115,6号线
通州北关,物资学院路,2557,6号线
北运河西,通州北关,3011,6号线
北运河东,北运河西,1600,6号线
郝家府,北运河东,929,6号线
东夏园,郝家府,1347,6号线
潞城,东夏园,1194,6号线
