startname,endname,length,line
北京西站,湾子,935,7号线
湾子,达官营,734,7号线
达官营,广安门内,1875,7号线
广安门内,菜市口,1373,7号线
菜市口,虎坊桥,886,7号线
虎坊桥,珠市口,1205,7号线
珠市口,桥湾,869,7号线
桥湾,磁器口,1016,7号线
磁器口,广渠门内,1138,7号线
广渠门内,广渠门外,1332,7号线
广渠门外,双井,1241,7号线
双井,九龙山,1311,7号线
九龙山,大郊亭,781,7号线
大郊亭,百子湾,865,7号线
百子湾,化工,903,7号线
化工,南楼梓庄,1465,7号线
南楼梓庄,欢乐谷景区,905,7号线
欢乐谷景区,垡头,1679,7号线
垡头,双合,1304,7号线
双合,焦化厂,1021,7号线
焦化厂,黄厂,1678,7号线
黄厂,郎辛庄,1752,7号线
郎辛庄,黑庄户,2517,7号线
黑庄户,万盛西,2961,7号线
万盛西,万盛东,2110,7号线
万盛东,群芳,1160,7号线
群芳,高楼金,1195,7号线
高楼金,花庄,1425,7号线
花庄,环球度假区,1769,7号线
湾子,北京西站,935,7号线
达官营,湾子,734,7号线
广安门内,达官营,1875,7号线
菜市口,广安门内,1373,7号线
虎坊桥,菜市口,886,7号线
珠市口,虎坊桥,1205,7号线
桥湾,珠市口,869,7号线
磁器口,桥湾,1016,7号线
广渠门内,磁器口,1138,7号线
广渠门外,广渠门内,1332,7号线
双井,广渠门外,1241,7号线
九龙山,双井,1311,7号线
大郊亭,九龙山,781,7号线
百子湾,大郊亭,865,7号线
化工,百子湾,903,7号线
南楼梓庄,化工,1465,7号线
欢乐谷景区,南楼梓庄,905,7号线
垡头,欢乐谷景区,1679,7号线
双合,垡头,1304,7号线
焦化厂,双合,1021,7号线
黄厂,焦化厂,1678,7号线
郎辛庄,黄厂,1752,7号线
黑庄户,郎辛庄,2517,7号线
万盛西,黑庄户,2961,7号线
万盛东,万盛西,2110,7号线
群芳,万盛东,1160,7号线
高楼金,群芳,1195,7号线
花庄,高楼金,1425,7号线
环球度假区,花庄,1769,7号线
