startname,endname,length,line
燕山,房山城关,2076,燕房线
房山城关,燕山,2076,燕房线
房山城关,饶乐府,1777,燕房线
饶乐府,房山城关,1777,燕房线
饶乐府,马各庄,984,燕房线
马各庄,饶乐府,984,燕房线
马各庄,大石河东,2087,燕房线
大石河东,马各庄,2087,燕房线
大石河东,星城,1929,燕房线
星城,大石河东,1929,燕房线
星城,阎村,1649,燕房线
阎村,星城,1649,燕房线
阎村,紫草坞,1210,燕房线
紫草坞,阎村,1210,燕房线
紫草坞,阎村东,1541,燕房线
阎村东,紫草坞,1541,燕房线
