startname,endname,length,line
石厂,小园,1297,S1线
小园,栗园庄,1266,S1线
栗园庄,上岸,1044,S1线
上岸,桥户营,1065,S1线
桥户营,四道桥,834,S1线
四道桥,金安桥,2736,S1线
金安桥,苹果园,1419,S1线
小园,石厂,1297,S1线
栗园庄,小园,1266,S1线
上岸,栗园庄,1044,S1线
桥户营,上岸,1065,S1线
四道桥,桥户营,834,S1线
金安桥,四道桥,2736,S1线
苹果园,金安桥,1419,S1线
