startname,endname,length,line
清华东路西口,六道口,1145,15号线
六道口,北沙滩,1337,15号线
北沙滩,奥林匹克公园,1999,15号线
奥林匹克公园,安立路,1369,15号线
安立路,大屯路东,938,15号线
大屯路东,关庄,1087,15号线
关庄,望京西,2039,15号线
望京西,望京,1759,15号线
望京,望京东,1652,15号线
望京东,崔各庄,2295,15号线
崔各庄,马泉营,2009,15号线
马泉营,孙河,3309,15号线
孙河,国展,3387,15号线
国展,花梨坎,1616,15号线
花梨坎,后沙峪,3354,15号线
后沙峪,南法信,4567,15号线
南法信,石门,2712,15号线
石门,顺义,1332,15号线
顺义,俸伯,2441,15号线
六道口,清华东路西口,1145,15号线
北沙滩,六道口,1337,15号线
奥林匹克公园,北沙滩,1999,15号线
安立路,奥林匹克公园,1369,15号线
大屯路东,安立路,938,15号线
关庄,大屯路东,1087,15号线
望京西,关庄,2039,15号线
望京,望京西,1759,15号线
望京东,望京,1652,15号线
崔各庄,望京东,2295,15号线
马泉营,崔各庄,2009,15号线
孙河,马泉营,3309,15号线
国展,孙河,3387,15号线
花梨坎,国展,1616,15号线
后沙峪,花梨坎,3354,15号线
南法信,后沙峪,4567,15号线
石门,南法信,2712,15号线
顺义,石门,1332,15号线
俸伯,顺义,2441,15号线
