startname,endname,length,line
巴沟,苏州街,1100,10号线
苏州街,海淀黄庄,950,10号线
海淀黄庄,知春里,976,10号线
知春里,知春路,1058,10号线
知春路,西土城,1102,10号线
西土城,牡丹园,1330,10号线
牡丹园,健德门,967,10号线
健德门,北土城,1100,10号线
北土城,安贞门,1020,10号线
安贞门,惠新西街南口,982,10号线
惠新西街南口,芍药居,1713,10号线
芍药居,太阳宫,1003,10号线
太阳宫,三元桥,1759,10号线
三元桥,亮马桥,1535,10号线
亮马桥,农业展览馆,914,10号线
农业展览馆,团结湖,853,10号线
团结湖,呼家楼,1150,10号线
呼家楼,金台夕照,734,10号线
金台夕照,国贸,835,10号线
国贸,双井,1760,10号线
双井,劲松,1033,10号线
劲松,潘家园,1021,10号线
潘家园,十里河,1073,10号线
十里河,分钟寺,1803,10号线
分钟寺,成寿寺,1060,10号线
成寿寺,宋家庄,1675,10号线
宋家庄,石榴庄,1273,10号线
石榴庄,大红门,1244,10号线
大红门,角门东,1124,10号线
角门东,角门西,1259,10号线
角门西,草桥,1688,10号线
草桥,纪家庙,1550,10号线
纪家庙,首经贸,1119,10号线
首经贸,丰台站,1717,10号线
丰台站,泥洼,954,10号线
泥洼,西局,749,10号线
西局,六里桥,1587,10号线
六里桥,莲花桥,2365,10号线
莲花桥,公主坟,1041,10号线
公主坟,西钓鱼台,2386,10号线
西钓鱼台,慈寿寺,1215,10号线
慈寿寺,车道沟,1591,10号线
车道沟,长春桥,1206,10号线
长春桥,火器营,778,10号线
火器营,巴沟,1441,10号线
苏州街,巴沟,1100,10号线
海淀黄庄,苏州街,950,10号线
知春里,海淀黄庄,976,10号线
知春路,知春里,1058,10号线
西土城,知春路,1102,10号线
牡丹园,西土城,1330,10号线
健德门,牡丹园,967,10号线
北土城,健德门,1100,10号线
安贞门,北土城,1020,10号线
惠新西街南口,安贞门,982,10号线
芍药居,惠新西街南口,1713,10号线
太阳宫,芍药居,1003,10号线
三元桥,太阳宫,1759,10号线
亮马桥,三元桥,1535,10号线
农业展览馆,亮马桥,914,10号线
团结湖,农业展览馆,853,10号线
呼家楼,团结湖,1150,10号线
金台夕照,呼家楼,734,10号线
国贸,金台夕照,835,10号线
双井,国贸,1760,10号线
劲松,双井,1033,10号线
潘家园,劲松,1021,10号线
十里河,潘家园,1073,10号线
分钟寺,十里河,1803,10号线
成寿寺,分钟寺,1060,10号线
宋家庄,成寿寺,1675,10号线
石榴庄,宋家庄,1273,10号线
大红门,石榴庄,1244,10号线
角门东,大红门,1124,10号线
角门西,角门东,1259,10号线
草桥,角门西,1688,10号线
纪家庙,草桥,1550,10号线
首经贸,纪家庙,1119,10号线
丰台站,首经贸,1717,10号线
泥洼,丰台站,954,10号线
西局,泥洼,749,10号线
六里桥,西局,1587,10号线
莲花桥,六里桥,2365,10号线
公主坟,莲花桥,1041,10号线
西钓鱼台,公主坟,2386,10号线
慈寿寺,西钓鱼台,1215,10号线
车道沟,慈寿寺,1591,10号线
长春桥,车道沟,1206,10号线
火器营,长春桥,778,10号线
巴沟,火器营,1441,10号线
