startname,endname,length,line
西直门,车公庄,910,2号线
车公庄,阜成门,960,2号线
阜成门,复兴门,1833,2号线
复兴门,长椿街,1234,2号线
长椿街,宣武门,929,2号线
宣武门,和平门,851,2号线
和平门,前门,1171,2号线
前门,崇文门,1634,2号线
崇文门,北京站,1023,2号线
北京站,建国门,946,2号线
建国门,朝阳门,1736,2号线
朝阳门,东四十条,1027,2号线
东四十条,东直门,824,2号线
东直门,雍和宫,2228,2号线
雍和宫,安定门,792,2号线
安定门,鼓楼大街,1237,2号线
鼓楼大街,积水潭,1766,2号线
车公庄,西直门,910,2号线
阜成门,车公庄,960,2号线
复兴门,阜成门,1833,2号线
长椿街,复兴门,1234,2号线
宣武门,长椿街,929,2号线
和平门,宣武门,851,2号线
前门,和平门,1171,2号线
崇文门,前门,1634,2号线
北京站,崇文门,1023,2号线
建国门,北京站,946,2号线
朝阳门,建国门,1736,2号线
东四十条,朝阳门,1027,2号线
东直门,东四十条,824,2号线
雍和宫,东直门,2228,2号线
安定门,雍和宫,792,2号线
鼓楼大街,安定门,1237,2号线
积水潭,鼓楼大街,1766,2号线
西直门,积水潭,1900,2号线
