startname,endname,length,line
育知路,朱辛庄,2319,8号线
平西府,育知路,1986,8号线
回龙观东大街,平西府,2017,8号线
霍营,回龙观东大街,1115,8号线
育新,霍营,1895,8号线
西小口,育新,1543,8号线
永泰庄,西小口,1042,8号线
林萃桥,永泰庄,2553,8号线
森林公园南门,林萃桥,2558,8号线
奥林匹克公园,森林公园南门,1017,8号线
奥体中心,奥林匹克公园,1667,8号线
北土城,奥体中心,900,8号线
安华桥,北土城,1009,8号线
安德里北街,安华桥,1275,8号线
鼓楼大街,安德里北街,1084,8号线
什刹海,鼓楼大街,1188,8号线
南锣鼓巷,什刹海,902,8号线
中国美术馆,南锣鼓巷,1437,8号线
金鱼胡同,中国美术馆,873,8号线
王府井,金鱼胡同,762,8号线
前门,王府井,1857,8号线
珠市口,前门,1085,8号线
天桥,珠市口,881,8号线
永定门外,天桥,1800,8号线
木樨园,永定门外,741,8号线
海户屯,木樨园,845,8号线
大红门南,海户屯,1678,8号线
和义,大红门南,2446,8号线
东高地,和义,1537,8号线
火箭万源,东高地,1215,8号线
五福堂,火箭万源,1684,8号线
德茂,五福堂,2076,8号线
瀛海,德茂,1510,8号线
朱辛庄,育知路,2319,8号线
育知路,平西府,1986,8号线
平西府,回龙观东大街,2017,8号线
回龙观东大街,霍营,1115,8号线
霍营,育新,1895,8号线
育新,西小口,1543,8号线
西小口,永泰庄,1042,8号线
永泰庄,林萃桥,2553,8号线
林萃桥,森林公园南门,2558,8号线
森林公园南门,奥林匹克公园,1017,8号线
奥林匹克公园,奥体中心,1667,8号线
奥体中心,北土城,900,8号线
北土城,安华桥,1009,8号线
安华桥,安德里北街,1275,8号线
安德里北街,鼓楼大街,1084,8号线
鼓楼大街,什刹海,1188,8号线
什刹海,南锣鼓巷,902,8号线
南锣鼓巷,中国美术馆,1437,8号线
中国美术馆,金鱼胡同,873,8号线
金鱼胡同,王府井,762,8号线
王府井,前门,1857,8号线
前门,珠市口,1085,8号线
珠市口,天桥,881,8号线
天桥,永定门外,1800,8号线
永定门外,木樨园,741,8号线
木樨园,海户屯,845,8号线
海户屯,大红门南,1678,8号线
大红门南,和义,2446,8号线
和义,东高地,1537,8号线
东高地,火箭万源,1215,8号线
火箭万源,五福堂,1684,8号线
五福堂,德茂,2076,8号线
德茂,瀛海,1510,8号线
