startname,endname,length,line
四惠,四惠东,1715,八通线
四惠东,高碑店,1375,八通线
高碑店,传媒大学,2002,八通线
传媒大学,双桥,1894,八通线
双桥,管庄,1912,八通线
管庄,八里桥,1763,八通线
八里桥,通州北苑,1700,八通线
通州北苑,果园,1465,八通线
果园,九棵树,990,八通线
九棵树,梨园,1225,八通线
梨园,临河里,1257,八通线
临河里,土桥,776,八通线
土桥,花庄,2238,八通线
花庄,环球度假区,1863,八通线
四惠东,四惠,1715,八通线
高碑店,四惠东,1375,八通线
传媒大学,高碑店,2002,八通线
双桥,传媒大学,1894,八通线
管庄,双桥,1912,八通线
八里桥,管庄,1763,八通线
通州北苑,八里桥,1700,八通线
果园,通州北苑,1465,八通线
九棵树,果园,990,八通线
梨园,九棵树,1225,八通线
临河里,梨园,1257,八通线
土桥,临河里,776,八通线
花庄,土桥,2238,八通线
环球度假区,花庄,1863,八通线
