startname,endname,length,line
香山,植物园,983,西郊线
植物园,香山,983,西郊线
植物园,万安,1733,西郊线
万安,植物园,1733,西郊线
万安,茶棚,1550,西郊线
茶棚,万安,1550,西郊线
茶棚,颐和园西门,1505,西郊线
颐和园西门,茶棚,1505,西郊线
颐和园西门,巴沟,2922,西郊线
巴沟,颐和园西门,2922,西郊线
