startname,endname,length,line
未来科学城北,未来科学城,1700,17号线
未来科学城,未来科学城北,1700,17号线
未来科学城,天通苑东,5900,17号线
天通苑东,未来科学城,5900,17号线
天通苑东,清河营,2000,17号线
清河营,天通苑东,2000,17号线
清河营,红军营,1900,17号线
红军营,清河营,1900,17号线
红军营,太阳宫,7600,17号线
太阳宫,红军营,7600,17号线
太阳宫,西坝河,1100,17号线
西坝河,太阳宫,1100,17号线
西坝河,左家庄,2500,17号线
左家庄,西坝河,2500,17号线
左家庄,工人体育场,2200,17号线
工人体育场,左家庄,2200,17号线
十里河,周家庄,1672,17号线
周家庄,十里河,1672,17号线
周家庄,十八里店,2349,17号线
十八里店,周家庄,2349,17号线
十八里店,北神树,5840,17号线
北神树,十八里店,5840,17号线
北神树,次渠北,2334,17号线
次渠北,北神树,2334,17号线
次渠北,次渠,1455,17号线
次渠,次渠北,1455,17号线
次渠,嘉会湖,2125,17号线
嘉会湖,次渠,2125,17号线
