startname,endname,length,line
肖村,宋家庄,2631,亦庄线
小红门,肖村,1275,亦庄线
旧宫,小红门,2366,亦庄线
亦庄桥,旧宫,1982,亦庄线
亦庄文化园,亦庄桥,993,亦庄线
万源街,亦庄文化园,1538,亦庄线
荣京东街,万源街,1280,亦庄线
荣昌东街,荣京东街,1354,亦庄线
同济南路,荣昌东街,2338,亦庄线
经海路,同济南路,2265,亦庄线
次渠南,经海路,2086,亦庄线
次渠,次渠南,1281,亦庄线
亦庄火车站,次渠,1334,亦庄线
宋家庄,肖村,2631,亦庄线
肖村,小红门,1275,亦庄线
小红门,旧宫,2366,亦庄线
旧宫,亦庄桥,1982,亦庄线
亦庄桥,亦庄文化园,993,亦庄线
亦庄文化园,万源街,1538,亦庄线
万源街,荣京东街,1280,亦庄线
荣京东街,荣昌东街,1354,亦庄线
荣昌东街,同济南路,2338,亦庄线
同济南路,经海路,2265,亦庄线
经海路,次渠南,2086,亦庄线
次渠南,次渠,1281,亦庄线
次渠,亦庄火车站,1334,亦庄线
