startname,endname,length,line
北新桥,东直门,1622,首都机场线
东直门,三元桥,3022,首都机场线
三元桥,3号航站楼,18322,首都机场线
3号航站楼,2号航站楼,7243,首都机场线
2号航站楼,三元桥,20738,首都机场线
东直门,北新桥,1622,首都机场线
三元桥,东直门,3022,首都机场线
