startname,endname,length,line
古城,八角游乐园,1921,1号线
八角游乐园,八宝山,1953,1号线
八宝山,玉泉路,1479,1号线
玉泉路,五棵松,1810,1号线
五棵松,万寿路,1778,1号线
万寿路,公主坟,1313,1号线
公主坟,军事博物馆,1172,1号线
军事博物馆,木樨地,1166,1号线
木樨地,南礼士路,1291,1号线
南礼士路,复兴门,424,1号线
复兴门,西单,1596,1号线
西单,天安门西,1217,1号线
天安门西,天安门东,925,1号线
天安门东,王府井,852,1号线
王府井,东单,774,1号线
东单,建国门,1230,1号线
建国门,永安里,1377,1号线
永安里,国贸,790,1号线
国贸,大望路,1385,1号线
大望路,四惠,1673,1号线
四惠,四惠东,1714,1号线
八角游乐园,古城,1921,1号线
八宝山,八角游乐园,1953,1号线
玉泉路,八宝山,1479,1号线
五棵松,玉泉路,1810,1号线
万寿路,五棵松,1778,1号线
公主坟,万寿路,1313,1号线
军事博物馆,公主坟,1172,1号线
木樨地,军事博物馆,1166,1号线
南礼士路,木樨地,1291,1号线
复兴门,南礼士路,424,1号线
西单,复兴门,1596,1号线
天安门西,西单,1217,1号线
天安门东,天安门西,925,1号线
王府井,天安门东,852,1号线
东单,王府井,774,1号线
建国门,东单,1230,1号线
永安里,建国门,1377,1号线
国贸,永安里,790,1号线
大望路,国贸,1385,1号线
四惠,大望路,1673,1号线
四惠东,四惠,1714,1号线
